Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,361.734619,40.318027,3.470235,1.760607,3.709125,8.524543,20.83194
1,1.0,364.740051,41.605858,3.981154,1.725136,3.523242,7.809974,18.366549
1,2.0,363.376617,44.38517,3.421941,1.766683,3.714747,8.494887,20.621984
1,3.0,366.132385,42.246361,3.358215,1.690554,3.440084,7.659108,18.206665
1,4.0,364.04126,41.03717,3.031537,1.726277,3.607062,8.255939,20.151022
1,5.0,366.445007,42.261257,2.412581,1.600128,3.101505,6.593451,15.022235
1,7.0,376.665161,41.557076,4.261261,1.765981,3.688384,8.371391,20.176294
1,8.0,373.608795,42.042908,3.54271,1.759439,3.677078,8.357637,20.167742
1,9.0,372.344666,45.447708,4.148231,1.766991,3.689626,8.373667,20.190077
1,10.0,373.602661,44.843479,3.419441,1.713398,3.483281,7.684274,17.971279
1,11.0,371.71817,44.570328,3.900432,1.863071,4.032362,9.414036,23.194963
1,12.0,373.56601,42.815979,3.08756,1.790983,3.798704,8.753347,21.388859
1,13.0,372.839264,48.037121,2.942432,1.773375,3.75266,8.655328,21.213604
1,14.0,372.774902,48.213894,2.861516,1.828986,3.944298,9.210192,22.732094
1,16.0,370.901581,44.162308,2.956954,1.838608,3.991863,9.398699,23.416203
1,17.0,371.837738,48.635273,3.412687,1.724442,3.5485,7.954196,18.959208
1,19.0,376.395233,49.753052,3.277371,1.662123,3.344324,7.380678,17.432774
1,21.0,379.739471,57.538162,3.276866,1.772522,3.721656,8.4966,20.600668
1,23.0,373.724457,52.825428,3.461782,1.679815,3.408072,7.572583,17.975035
1,24.0,374.230499,56.564342,3.380486,1.56891,3.003141,6.318848,14.270475
1,25.0,371.182953,56.238693,3.200011,1.626561,3.210114,6.945379,16.073368
1,26.0,373.429993,52.735916,4.042847,1.722088,3.516614,7.807174,18.420536
1,29.0,386.392059,61.636421,2.043615,1.491872,2.800405,5.861302,13.333368
2,0.0,193.640671,48.764751,1.714253,1.48313,2.754965,5.70493,12.851241
2,3.0,193.961456,48.818062,1.867323,1.416582,2.590621,5.31336,11.882854
