Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,353.636017,158.055161,1.433863,1.495374,2.803854,5.831777,13.105843
1,4.0,355.694702,158.476471,1.408839,1.570629,3.132308,6.959014,16.702099
2,0.0,285.433441,488.398224,1.11887,1.143859,1.708042,2.819912,5.092989
2,3.0,277.714264,476.445984,0.983674,1.143995,1.677433,2.708627,4.790253
3,1.0,441.966827,117.415909,1.101743,1.377739,2.499385,5.150563,11.6973
3,2.0,445.613373,116.679939,2.116037,1.553927,2.966556,6.228868,14.037892
3,4.0,453.153503,113.438034,1.05439,1.305092,2.239155,4.332574,9.244351
4,1.0,355.552307,122.707008,1.688156,1.459092,2.65702,5.354653,11.677175
4,2.0,353.850159,124.480103,1.337176,1.463142,2.744156,5.759284,13.157177
4,3.0,357.498138,119.969528,2.497862,1.652539,3.358073,7.524937,18.081989
4,6.0,343.149445,127.657257,1.784103,1.705578,3.596958,8.368314,20.819923
4,8.0,338.475159,135.272766,3.36795,1.735492,3.603723,8.165929,19.698744
4,10.0,334.9505,138.716263,1.271769,1.526195,2.992925,6.53742,15.415467
4,11.0,334.384766,138.010651,1.365858,1.395223,2.480377,4.945748,10.817634
4,12.0,338.740112,138.710068,1.71992,1.570283,3.085614,6.732694,15.863049
4,15.0,340.984985,143.958725,1.42421,1.579137,3.108785,6.757474,15.756844
4,16.0,343.625336,143.459366,1.99654,1.50766,2.778991,5.632517,12.266622
5,3.0,414.328033,92.562325,0.945407,1.183956,1.840819,3.233919,6.363185
5,6.0,402.933014,94.538254,0.724604,1.133439,1.802629,3.340894,7.105879
5,10.0,408.429138,89.801743,0.884864,1.187381,1.887338,3.462968,7.255301
6,3.0,345.594604,200.514374,0.867014,1.208771,1.991469,3.778746,8.067885
6,7.0,366.787567,195.019974,1.283105,1.383704,2.435035,4.765092,10.134968
6,11.0,384.787506,195.260345,0.868654,1.122595,1.631828,2.592018,4.455627
6,13.0,379.382568,188.354431,0.822654,1.035781,1.425092,2.157729,3.601566
6,17.0,379.760834,165.686615,0.972663,1.229984,2.060462,3.957565,8.50851
7,4.0,500.633118,102.772499,1.127525,1.292484,2.115311,3.810194,7.41021
7,5.0,505.602631,103.58477,1.328361,1.356572,2.421872,4.900971,10.924035
8,5.0,461.412292,32.068123,1.695607,1.550437,2.99685,6.402839,14.709247
8,9.0,461.402313,49.431915,1.433486,1.47515,2.704287,5.472851,11.943368
9,5.0,132.231644,269.550659,2.420683,1.385799,2.418702,4.694129,9.924059
9,9.0,145.346024,265.439636,0.955503,1.234334,2.079381,4.061332,8.97299
10,5.0,425.76947,337.532349,1.209597,1.309274,2.221582,4.224366,8.796885
10,9.0,446.32666,333.42691,1.085732,1.254682,2.052267,3.75912,7.575658
10,13.0,446.990173,313.601837,0.865331,1.146351,1.7806,3.172325,6.424729
11,6.0,234.139618,94.148079,1.406765,1.474416,2.718498,5.55808,12.310832
11,8.0,224.402008,87.760857,1.065789,1.296078,2.216087,4.306945,9.279124
12,6.0,417.249207,157.98204,1.55189,1.553098,3.01685,6.488106,15.034849
12,7.0,417.155121,157.720596,1.756106,1.585586,3.143354,6.906958,16.348034
12,8.0,417.284241,157.527283,2.274638,1.350537,2.317276,4.426512,9.22596
12,9.0,417.255615,157.632751,2.746483,1.541126,2.906009,6.015807,13.357001
12,10.0,417.391388,157.29187,2.140883,1.521376,2.843238,5.84609,12.910566
12,11.0,417.451172,157.667999,1.589913,1.411812,2.579175,5.310069,12.001506
12,12.0,416.684387,157.617416,1.617738,1.662572,3.352708,7.409967,17.507616
12,13.0,417.345734,157.698975,1.019089,1.311512,2.275434,4.483293,9.776229
13,6.0,337.519775,247.648987,0.790102,1.049374,1.520653,2.557178,5.043188
13,7.0,337.643524,246.651581,0.977597,1.255987,2.089265,3.967348,8.44407
13,11.0,340.345184,257.371368,0.999282,1.410399,2.671504,5.767169,13.687465
13,14.0,343.987915,258.620239,1.164778,1.359188,2.346859,4.499511,9.374845
14,6.0,329.2677,457.945953,0.976137,1.237677,2.042553,3.807917,7.863925
14,8.0,325.973297,457.991852,1.153502,1.385336,2.503898,5.087732,11.320792
15,7.0,465.81134,1.849999,1.148858,1.288079,2.142508,4.061973,8.634995
15,10.0,475.634949,1.084403,0.551368,0.937505,1.426764,2.510683,5.021876
16,7.0,480.665344,127.546722,0.980943,1.354717,2.450657,5.029583,11.356356
16,11.0,502.126068,130.806122,1.29807,1.455031,2.681728,5.529949,12.437695
17,7.0,387.739105,382.862976,0.867929,1.173355,1.813751,3.121034,5.902842
17,10.0,376.708801,394.635925,0.908174,1.231408,2.049069,3.917455,8.432402
17,12.0,384.439697,391.449036,1.300297,1.317181,2.207622,4.127289,8.45565
18,9.0,430.03418,26.083649,0.834446,1.216545,2.040783,3.955512,8.664212
18,11.0,428.429047,23.42197,1.106444,1.317222,2.256964,4.365737,9.324021
19,9.0,454.002045,238.480743,1.057322,1.299875,2.234839,4.408473,9.753774
19,11.0,453.813202,237.347946,0.909209,1.163539,1.836206,3.319407,6.792163
