Trajectory,Frame,x,y,m0,m1,m2,m3,m4
1,0.0,89.67305,1.665093,0.67949,1.356739,2.421681,4.987441,11.493599
1,2.0,84.990982,6.356625,0.761503,1.078274,1.623263,2.800244,5.479841
2,0.0,387.594086,6.354167,1.358914,1.47409,2.808242,6.046132,14.250864
2,1.0,393.214233,6.483541,0.758669,1.017823,1.386221,2.065183,3.362296
2,4.0,392.618896,11.729599,1.149657,1.353928,2.466906,5.196865,12.248755
3,0.0,164.542755,72.502289,0.798206,1.004111,1.355251,2.03522,3.46629
3,2.0,165.29483,79.778519,0.815698,1.070088,1.506947,2.315383,3.854542
4,0.0,509.510559,115.276451,1.126929,1.332686,2.305511,4.497605,9.67002
4,4.0,510.713989,116.091309,0.810438,1.175875,1.860611,3.410118,7.153646
5,0.0,417.743164,155.805115,1.109536,1.363183,2.442177,4.95188,11.065892
5,4.0,437.940521,149.748245,0.982992,1.258937,2.146858,4.220963,9.308008
6,0.0,349.083557,159.117249,0.940777,1.269612,2.243957,4.601012,10.581728
6,3.0,355.990631,152.195831,1.28319,1.397262,2.533862,5.205811,11.777971
6,7.0,367.044006,134.431137,1.268706,1.398833,2.565943,5.339953,12.233514
7,0.0,299.188477,174.947845,2.41532,1.695651,3.479419,7.822827,18.774883
7,3.0,304.139221,185.250107,1.291042,1.368349,2.396805,4.698183,10.068769
8,0.0,466.843567,174.287994,0.872659,1.190091,1.943789,3.633364,7.615322
8,4.0,466.474731,151.467422,1.32561,1.258281,2.058165,3.769839,7.591163
9,0.0,379.463989,181.418762,1.06558,1.193687,1.878677,3.337896,6.620982
9,4.0,386.42514,201.019684,0.980124,1.272743,2.184382,4.284381,9.372311
9,6.0,379.427063,210.088028,0.919566,1.129966,1.698205,2.865489,5.391921
10,0.0,345.485413,250.197281,1.198535,1.433438,2.691265,5.723566,13.382963
10,4.0,331.502777,245.021805,0.928723,1.202922,1.962063,3.671135,7.747361
11,0.0,457.104126,265.291534,1.290169,1.400431,2.514068,5.06028,11.131909
11,1.0,457.752899,267.499786,1.589736,1.511346,2.836981,5.9077,13.324579
12,0.0,123.735161,360.741943,0.89395,1.166926,1.819486,3.197541,6.265934
12,4.0,146.481018,365.461548,2.734901,1.594796,3.118417,6.726294,15.601919
13,0.0,369.316986,496.445374,0.843747,1.07896,1.522868,2.373924,4.090615
13,3.0,371.224884,497.439209,1.341439,1.377257,2.353777,4.422922,8.948435
14,1.0,297.962494,1.764665,0.620469,1.394405,2.562216,5.405544,12.630942
14,5.0,301.896942,11.568892,0.74764,1.149112,1.880728,3.614981,7.979147
14,9.0,278.526031,14.247552,1.004604,1.235215,2.046443,3.9264,8.569725
15,1.0,60.180935,1.582193,0.938246,1.183249,1.835673,3.174844,6.045904
15,4.0,59.764431,12.123665,0.862261,1.243657,2.206265,4.60331,10.885991
15,8.0,44.39296,2.821877,1.065078,1.377753,2.508597,5.159534,11.639839
16,1.0,200.67421,22.291498,0.904057,1.185677,1.970491,3.841417,8.574291
16,5.0,215.622971,13.065206,1.257521,1.462978,2.744331,5.753141,13.091816
16,8.0,220.999496,19.26391,1.131344,1.318197,2.275571,4.428472,9.475069
17,1.0,355.566528,72.494682,1.201922,1.253839,2.02879,3.692691,7.457354
17,4.0,347.641907,77.380676,0.93437,1.090455,1.580706,2.600045,4.884206
18,1.0,324.136841,145.368988,1.085696,1.092182,1.590303,2.580977,4.647448
18,3.0,318.167023,155.283279,0.796748,1.111345,1.722895,3.084577,6.283063
19,1.0,312.634247,177.136551,1.077507,1.31629,2.344893,4.841313,11.234532
19,3.0,312.243561,180.757156,1.179386,1.316546,2.305999,4.6174,10.295593
20,1.0,280.475098,208.072647,1.424019,1.234147,1.982092,3.570395,7.105267
20,2.0,278.735077,208.177811,0.946446,1.270042,2.160179,4.152555,8.804017
20,5.0,291.466492,211.735336,1.256737,1.394922,2.550807,5.298881,12.141209
21,1.0,458.254303,288.985138,1.216581,1.435482,2.684331,5.673318,13.171912
21,5.0,466.081024,296.699127,1.094061,1.335612,2.331068,4.58354,9.917863
22,1.0,482.844513,310.413971,1.677219,1.603253,3.193258,7.019707,16.559845
